threshold,accuracy,recall,precision,f1,balanced_accuracy,source
0.50,0.9801,0.4751,0.9132,0.6250,0.7367,notebook 04 OOF GroupKFold mensual x6
0.19,0.9801,0.6082,0.7737,0.6810,0.8009,notebook 04 OOF GroupKFold mensual x6
